Alert_ID,Snapshot_Date,Week,Week_Index,SKU,Site ID,Site,Site Type,Factory ID,DC_IDS,Common id,Location,Region,Latitude,Longitude,Category,Unit Price,Out of stock Value($),Excess and over($),Start Inventory,Total Forecast/Order,Start Backorder,Total Demand,Planned Prod,Confirm Prod,Total Supply,End. Backorder,End. Inventory,Days of Coverage,Lead Time,Target Safety Stock (in Days),Target Safety Stock (in Units),Cycle Stock (in Days),Cycle Stock (in Units),Target Max Stock (in Days),Target Max Stock (in Units),MSTN Thresold,ESTN Thresold,MSTN%,ESTN%,Shortage,Excess,Business Unit,Alert Type,Priority,Alert,SKU_Category,W1_Priority_Flag,W2_Shortage_Excess_Qty,W3_Days_to_Alert,W4_SKU_Importance,Priority_Score,Agentic_RCA
BD-24536581-00009,2026-04-17,2026-04-26,12,SKU_0001,DC1,DC1,DC,F1,,,New York,Northeast,40.7128,-74.006,Medical Devices & Diagnostics,28.22,0,29348,1592,60,0,60,66,0,66,0,1598,186.4,2,28,264,14,132,59,558,264,558,100,186,0,1040,MDS,High ESTN,P1,Critical Excess,C,100,100,8,66,78,"Opening inventory of 1592 and supply of 0 exceed the demand of 60, resulting in a projected surplus of 1598. This inventory levels violates the maximum stock threshold of 558 units by 1040 units, increasing holding risk."
,2026-04-17,2026-02-08,1,SKU_0001,DC2,DC2,DC,F1,,,Los Angeles,West,34.0522,-118.2437,Medical Devices & Diagnostics,17.43,0,0,275,50,0,50,0,0,0,0,225,31.5,3,28,180,21,135,57,367,180,367,100,0,0,0,MDS,None,None,Healthy,C,0,0,0,0,0,
,2026-04-17,2026-02-15,2,SKU_0001,DC2,DC2,DC,F1,,,Los Angeles,West,34.0522,-118.2437,Medical Devices & Diagnostics,17.43,0,0,225,52,0,52,0,91,91,0,264,35.5,3,28,180,21,135,57,367,180,367,100,0,0,0,MDS,None,None,Healthy,C,0,0,0,0,0,
,2026-04-17,2026-02-22,3,SKU_0001,DC2,DC2,DC,F1,,,Los Angeles,West,34.0522,-118.2437,Medical Devices & Diagnostics,17.43,0,0,264,31,0,31,0,88,88,0,321,72.5,3,28,180,21,135,57,367,180,367,100,0,0,0,MDS,None,None,Healthy,C,0,0,0,0,0,
BD-24536581-00010,2026-04-17,2026-03-01,4,SKU_0001,DC2,DC2,DC,F1,,,Los Angeles,West,34.0522,-118.2437,Medical Devices & Diagnostics,17.43,0,3677,321,54,0,54,0,311,311,0,578,74.9,3,28,180,21,135,57,367,180,367,100,57,0,211,MDS,High ESTN,P1,Critical Excess,C,100,57,25,66,69,"Opening inventory of 321 and supply of 311 exceed the demand of 54, resulting in a projected surplus of 578. This inventory levels violates the maximum stock threshold of 367 units by 211 units, increasing holding risk."
BD-24536581-00011,2026-04-17,2026-03-08,5,SKU_0001,DC2,DC2,DC,F1,,,Los Angeles,West,34.0522,-118.2437,Medical Devices & Diagnostics,17.43,0,4671,578,52,0,52,109,0,109,0,635,85.5,3,28,180,21,135,57,367,180,367,100,73,0,268,MDS,High ESTN,P1,Critical Excess,C,100,73,20,66,72,"Opening inventory of 578 and supply of 0 exceed the demand of 52, resulting in a projected surplus of 635. This inventory levels violates the maximum stock threshold of 367 units by 268 units, increasing holding risk."
BD-24536581-00012,2026-04-17,2026-03-15,6,SKU_0001,DC2,DC2,DC,F1,,,Los Angeles,West,34.0522,-118.2437,Medical Devices & Diagnostics,17.43,0,3852,635,47,0,47,0,0,0,0,588,87.6,3,28,180,21,135,57,367,180,367,100,60,0,221,MDS,High ESTN,P1,Critical Excess,C,100,60,16,66,68,"Opening inventory of 635 and supply of 0 exceed the demand of 47, resulting in a projected surplus of 588. This inventory levels violates the maximum stock threshold of 367 units by 221 units, increasing holding risk."
BD-24536581-00013,2026-04-17,2026-03-22,7,SKU_0001,DC2,DC2,DC,F1,,,Los Angeles,West,34.0522,-118.2437,Medical Devices & Diagnostics,17.43,0,3085,588,44,0,44,0,0,0,0,544,86.5,3,28,180,21,135,57,367,180,367,100,48,0,177,MDS,High ESTN,P1,Critical Excess,C,100,48,14,66,64,"Opening inventory of 588 and supply of 0 exceed the demand of 44, resulting in a projected surplus of 544. This inventory levels violates the maximum stock threshold of 367 units by 177 units, increasing holding risk."
BD-24536581-00014,2026-04-17,2026-03-29,8,SKU_0001,DC2,DC2,DC,F1,,,Los Angeles,West,34.0522,-118.2437,Medical Devices & Diagnostics,17.43,0,3346,544,59,0,59,0,74,74,0,559,66.3,3,28,180,21,135,57,367,180,367,100,52,0,192,MDS,High ESTN,P1,Critical Excess,C,100,52,12,66,65,"Opening inventory of 544 and supply of 74 exceed the demand of 59, resulting in a projected surplus of 559. This inventory levels violates the maximum stock threshold of 367 units by 192 units, increasing holding risk."
BD-24536581-00015,2026-04-17,2026-04-05,9,SKU_0001,DC2,DC2,DC,F1,,,Los Angeles,West,34.0522,-118.2437,Medical Devices & Diagnostics,17.43,0,7285,559,45,0,45,0,271,271,0,785,122.1,3,28,180,21,135,57,367,180,367,100,113,0,418,MDS,High ESTN,P1,Critical Excess,C,100,100,11,66,79,"Opening inventory of 559 and supply of 271 exceed the demand of 45, resulting in a projected surplus of 785. This inventory levels violates the maximum stock threshold of 367 units by 418 units, increasing holding risk."
BD-24536581-00016,2026-04-17,2026-04-12,10,SKU_0001,DC2,DC2,DC,F1,,,Los Angeles,West,34.0522,-118.2437,Medical Devices & Diagnostics,17.43,0,7965,785,42,0,42,81,0,81,0,824,137.3,3,28,180,21,135,57,367,180,367,100,124,0,457,MDS,High ESTN,P1,Critical Excess,C,100,100,10,66,79,"Opening inventory of 785 and supply of 0 exceed the demand of 42, resulting in a projected surplus of 824. This inventory levels violates the maximum stock threshold of 367 units by 457 units, increasing holding risk."
BD-24536581-00017,2026-04-17,2026-04-19,11,SKU_0001,DC2,DC2,DC,F1,,,Los Angeles,West,34.0522,-118.2437,Medical Devices & Diagnostics,17.43,0,8837,824,37,0,37,0,87,87,0,874,165.4,3,28,180,21,135,57,367,180,367,100,138,0,507,MDS,High ESTN,P1,Critical Excess,C,100,100,9,66,78,"Opening inventory of 824 and supply of 87 exceed the demand of 37, resulting in a projected surplus of 874. This inventory levels violates the maximum stock threshold of 367 units by 507 units, increasing holding risk."
BD-24536581-00018,2026-04-17,2026-04-26,12,SKU_0001,DC2,DC2,DC,F1,,,Los Angeles,West,34.0522,-118.2437,Medical Devices & Diagnostics,17.43,0,10213,874,51,0,51,0,130,130,0,953,130.8,3,28,180,21,135,57,367,180,367,100,159,0,586,MDS,High ESTN,P1,Critical Excess,C,100,100,8,66,78,"Opening inventory of 874 and supply of 130 exceed the demand of 51, resulting in a projected surplus of 953. This inventory levels violates the maximum stock threshold of 367 units by 586 units, increasing holding risk."
BD-24536581-00019,2026-04-17,2026-02-08,1,SKU_0001,DC4,DC4,DC,F1,,,Seattle,Northwest,47.6062,-122.3321,Medical Devices & Diagnostics,16.77,0,872,169,18,0,18,0,44,44,0,195,75.8,2,28,71,14,36,56,143,71,143,100,36,0,52,MDS,High ESTN,P1,Critical Excess,C,100,36,100,66,77,"Opening inventory of 169 and supply of 44 exceed the demand of 18, resulting in a projected surplus of 195. This inventory levels violates the maximum stock threshold of 143 units by 52 units, increasing holding risk."
BD-24536581-00020,2026-04-17,2026-02-15,2,SKU_0001,DC4,DC4,DC,F1,,,Seattle,Northwest,47.6062,-122.3321,Medical Devices & Diagnostics,16.77,0,1308,195,17,0,17,43,0,43,0,221,91.0,2,28,71,14,36,56,143,71,143,100,54,0,78,MDS,High ESTN,P1,Critical Excess,C,100,54,50,66,73,"Opening inventory of 195 and supply of 0 exceed the demand of 17, resulting in a projected surplus of 221. This inventory levels violates the maximum stock threshold of 143 units by 78 units, increasing holding risk."
BD-24536581-00021,2026-04-17,2026-02-22,3,SKU_0001,DC4,DC4,DC,F1,,,Seattle,Northwest,47.6062,-122.3321,Medical Devices & Diagnostics,16.77,0,939,221,22,0,22,0,0,0,0,199,63.3,2,28,71,14,36,56,143,71,143,100,39,0,56,MDS,High ESTN,P1,Critical Excess,C,100,39,33,66,65,"Opening inventory of 221 and supply of 0 exceed the demand of 22, resulting in a projected surplus of 199. This inventory levels violates the maximum stock threshold of 143 units by 56 units, increasing holding risk."
BD-24536581-00022,2026-04-17,2026-03-01,4,SKU_0001,DC4,DC4,DC,F1,,,Seattle,Northwest,47.6062,-122.3321,Medical Devices & Diagnostics,16.77,0,1542,199,12,0,12,0,48,48,0,235,137.1,2,28,71,14,36,56,143,71,143,100,64,0,92,MDS,High ESTN,P1,Critical Excess,C,100,64,25,66,71,"Opening inventory of 199 and supply of 48 exceed the demand of 12, resulting in a projected surplus of 235. This inventory levels violates the maximum stock threshold of 143 units by 92 units, increasing holding risk."
BD-24536581-00023,2026-04-17,2026-03-08,5,SKU_0001,DC4,DC4,DC,F1,,,Seattle,Northwest,47.6062,-122.3321,Medical Devices & Diagnostics,16.77,0,2012,235,14,0,14,0,42,42,0,263,131.5,2,28,71,14,36,56,143,71,143,100,83,0,120,MDS,High ESTN,P1,Critical Excess,C,100,83,20,66,76,"Opening inventory of 235 and supply of 42 exceed the demand of 14, resulting in a projected surplus of 263. This inventory levels violates the maximum stock threshold of 143 units by 120 units, increasing holding risk."
BD-24536581-00024,2026-04-17,2026-03-15,6,SKU_0001,DC4,DC4,DC,F1,,,Seattle,Northwest,47.6062,-122.3321,Medical Devices & Diagnostics,16.77,0,2347,263,15,0,15,35,0,35,0,283,132.1,2,28,71,14,36,56,143,71,143,100,97,0,140,MDS,High ESTN,P1,Critical Excess,C,100,97,16,66,79,"Opening inventory of 263 and supply of 0 exceed the demand of 15, resulting in a projected surplus of 283. This inventory levels violates the maximum stock threshold of 143 units by 140 units, increasing holding risk."
BD-24536581-00025,2026-04-17,2026-03-22,7,SKU_0001,DC4,DC4,DC,F1,,,Seattle,Northwest,47.6062,-122.3321,Medical Devices & Diagnostics,16.77,0,2767,283,20,0,20,0,45,45,0,308,107.8,2,28,71,14,36,56,143,71,143,100,115,0,165,MDS,High ESTN,P1,Critical Excess,C,100,100,14,66,79,"Opening inventory of 283 and supply of 45 exceed the demand of 20, resulting in a projected surplus of 308. This inventory levels violates the maximum stock threshold of 143 units by 165 units, increasing holding risk."
BD-24536581-00026,2026-04-17,2026-03-29,8,SKU_0001,DC4,DC4,DC,F1,,,Seattle,Northwest,47.6062,-122.3321,Medical Devices & Diagnostics,16.77,0,2549,308,13,0,13,0,0,0,0,295,158.8,2,28,71,14,36,56,143,71,143,100,106,0,152,MDS,High ESTN,P1,Critical Excess,C,100,100,12,66,79,"Opening inventory of 308 and supply of 0 exceed the demand of 13, resulting in a projected surplus of 295. This inventory levels violates the maximum stock threshold of 143 units by 152 units, increasing holding risk."
BD-24536581-00027,2026-04-17,2026-04-05,9,SKU_0001,DC4,DC4,DC,F1,,,Seattle,Northwest,47.6062,-122.3321,Medical Devices & Diagnostics,16.77,0,3135,295,16,0,16,0,51,51,0,330,144.4,2,28,71,14,36,56,143,71,143,100,130,0,187,MDS,High ESTN,P1,Critical Excess,C,100,100,11,66,79,"Opening inventory of 295 and supply of 51 exceed the demand of 16, resulting in a projected surplus of 330. This inventory levels violates the maximum stock threshold of 143 units by 187 units, increasing holding risk."
BD-24536581-00028,2026-04-17,2026-04-12,10,SKU_0001,DC4,DC4,DC,F1,,,Seattle,Northwest,47.6062,-122.3321,Medical Devices & Diagnostics,16.77,0,3588,330,14,0,14,41,0,41,0,357,178.5,2,28,71,14,36,56,143,71,143,100,149,0,214,MDS,High ESTN,P1,Critical Excess,C,100,100,10,66,79,"Opening inventory of 330 and supply of 0 exceed the demand of 14, resulting in a projected surplus of 357. This inventory levels violates the maximum stock threshold of 143 units by 214 units, increasing holding risk."
BD-24536581-00029,2026-04-17,2026-04-19,11,SKU_0001,DC4,DC4,DC,F1,,,Seattle,Northwest,47.6062,-122.3321,Medical Devices & Diagnostics,16.77,0,3639,357,18,0,18,21,0,21,0,360,140.0,2,28,71,14,36,56,143,71,143,100,151,0,217,MDS,High ESTN,P1,Critical Excess,C,100,100,9,66,78,"Opening inventory of 357 and supply of 0 exceed the demand of 18, resulting in a projected surplus of 360. This inventory levels violates the maximum stock threshold of 143 units by 217 units, increasing holding risk."
BD-24536581-00030,2026-04-17,2026-04-26,12,SKU_0001,DC4,DC4,DC,F1,,,Seattle,Northwest,47.6062,-122.3321,Medical Devices & Diagnostics,16.77,0,3270,360,22,0,22,0,0,0,0,338,107.5,2,28,71,14,36,56,143,71,143,100,136,0,195,MDS,High ESTN,P1,Critical Excess,C,100,100,8,66,78,"Opening inventory of 360 and supply of 0 exceed the demand of 22, resulting in a projected surplus of 338. This inventory levels violates the maximum stock threshold of 143 units by 195 units, increasing holding risk."
,2026-04-17,2026-02-08,1,SKU_0001,DC5,DC5,DC,F1,,,Miami,Southeast,25.7617,-80.1918,Medical Devices & Diagnostics,14.82,0,0,189,42,0,42,0,409,409,0,556,92.7,3,28,237,21,178,76,647,237,647,100,0,0,0,MDS,None,None,Healthy,C,0,0,0,0,0,
,2026-04-17,2026-02-15,2,SKU_0001,DC5,DC5,DC,F1,,,Miami,Southeast,25.7617,-80.1918,Medical Devices & Diagnostics,14.82,0,0,556,73,0,73,0,0,0,0,483,46.3,3,28,237,21,178,76,647,237,647,100,0,0,0,MDS,None,None,Healthy,C,0,0,0,0,0,
,2026-04-17,2026-02-22,3,SKU_0001,DC5,DC5,DC,F1,,,Miami,Southeast,25.7617,-80.1918,Medical Devices & Diagnostics,14.82,0,0,483,66,0,66,0,103,103,0,520,55.2,3,28,237,21,178,76,647,237,647,100,0,0,0,MDS,None,None,Healthy,C,0,0,0,0,0,
,2026-04-17,2026-03-01,4,SKU_0001,DC5,DC5,DC,F1,,,Miami,Southeast,25.7617,-80.1918,Medical Devices & Diagnostics,14.82,0,0,520,73,0,73,0,0,0,0,447,42.9,3,28,237,21,178,76,647,237,647,100,0,0,0,MDS,None,None,Healthy,C,0,0,0,0,0,
,2026-04-17,2026-03-08,5,SKU_0001,DC5,DC5,DC,F1,,,Miami,Southeast,25.7617,-80.1918,Medical Devices & Diagnostics,14.82,0,0,447,61,0,61,0,0,0,0,386,44.3,3,28,237,21,178,76,647,237,647,100,0,0,0,MDS,None,None,Healthy,C,0,0,0,0,0,
,2026-04-17,2026-03-15,6,SKU_0001,DC5,DC5,DC,F1,,,Miami,Southeast,25.7617,-80.1918,Medical Devices & Diagnostics,14.82,0,0,386,44,0,44,0,152,152,0,494,78.6,3,28,237,21,178,76,647,237,647,100,0,0,0,MDS,None,None,Healthy,C,0,0,0,0,0,
,2026-04-17,2026-03-22,7,SKU_0001,DC5,DC5,DC,F1,,,Miami,Southeast,25.7617,-80.1918,Medical Devices & Diagnostics,14.82,0,0,494,50,0,50,0,0,0,0,444,62.2,3,28,237,21,178,76,647,237,647,100,0,0,0,MDS,None,None,Healthy,C,0,0,0,0,0,
,2026-04-17,2026-03-29,8,SKU_0001,DC5,DC5,DC,F1,,,Miami,Southeast,25.7617,-80.1918,Medical Devices & Diagnostics,14.82,0,0,444,45,0,45,0,0,0,0,399,62.1,3,28,237,21,178,76,647,237,647,100,0,0,0,MDS,None,None,Healthy,C,0,0,0,0,0,
,2026-04-17,2026-04-05,9,SKU_0001,DC5,DC5,DC,F1,,,Miami,Southeast,25.7617,-80.1918,Medical Devices & Diagnostics,14.82,0,0,399,48,0,48,88,0,88,0,439,64.0,3,28,237,21,178,76,647,237,647,100,0,0,0,MDS,None,None,Healthy,C,0,0,0,0,0,
,2026-04-17,2026-04-12,10,SKU_0001,DC5,DC5,DC,F1,,,Miami,Southeast,25.7617,-80.1918,Medical Devices & Diagnostics,14.82,0,0,439,60,0,60,0,0,0,0,379,44.2,3,28,237,21,178,76,647,237,647,100,0,0,0,MDS,None,None,Healthy,C,0,0,0,0,0,
,2026-04-17,2026-04-19,11,SKU_0001,DC5,DC5,DC,F1,,,Miami,Southeast,25.7617,-80.1918,Medical Devices & Diagnostics,14.82,0,0,379,62,0,62,0,0,0,0,317,35.8,3,28,237,21,178,76,647,237,647,100,0,0,0,MDS,None,None,Healthy,C,0,0,0,0,0,
,2026-04-17,2026-04-26,12,SKU_0001,DC5,DC5,DC,F1,,,Miami,Southeast,25.7617,-80.1918,Medical Devices & Diagnostics,14.82,0,0,317,69,0,69,0,0,0,0,248,25.2,3,28,237,21,178,76,647,237,647,100,0,0,0,MDS,None,None,Healthy,C,0,0,0,0,0,
,2026-04-17,2026-02-08,1,SKU_0001,F1,F1,Factory,F1,,,Detroit,Midwest,42.3314,-83.0458,Medical Devices & Diagnostics,29.55,0,0,1481,504,0,504,0,889,889,0,1866,25.9,4,28,1187,28,1187,65,2743,1187,2743,100,0,0,0,MDS,None,None,Healthy,C,0,0,0,0,0,
,2026-04-17,2026-02-15,2,SKU_0001,F1,F1,Factory,F1,,,Detroit,Midwest,42.3314,-83.0458,Medical Devices & Diagnostics,29.55,0,0,1866,357,0,357,0,0,0,0,1509,29.6,4,28,1187,28,1187,65,2743,1187,2743,100,0,0,0,MDS,None,None,Healthy,C,0,0,0,0,0,
,2026-04-17,2026-02-22,3,SKU_0001,F1,F1,Factory,F1,,,Detroit,Midwest,42.3314,-83.0458,Medical Devices & Diagnostics,29.55,0,0,1509,559,0,559,0,1183,1183,0,2133,26.7,4,28,1187,28,1187,65,2743,1187,2743,100,0,0,0,MDS,None,None,Healthy,C,0,0,0,0,0,
BD-24536581-00031,2026-04-17,2026-03-01,4,SKU_0001,F1,F1,Factory,F1,,,Detroit,Midwest,42.3314,-83.0458,Medical Devices & Diagnostics,29.55,0,31293,2133,443,0,443,0,2112,2112,0,3802,60.1,4,28,1187,28,1187,65,2743,1187,2743,100,38,0,1059,MDS,High ESTN,P2,At-Risk Excess,C,67,38,25,66,50,"Opening inventory of 2133 and supply of 2112 exceed the demand of 443, resulting in a projected surplus of 3802. This inventory levels violates the maximum stock threshold of 2743 units by 1059 units, increasing holding risk."
BD-24536581-00032,2026-04-17,2026-03-08,5,SKU_0001,F1,F1,Factory,F1,,,Detroit,Midwest,42.3314,-83.0458,Medical Devices & Diagnostics,29.55,0,26801,3802,152,0,152,0,0,0,0,3650,168.1,4,28,1187,28,1187,65,2743,1187,2743,100,33,0,907,MDS,High ESTN,P2,At-Risk Excess,C,67,33,20,66,47,"Opening inventory of 3802 and supply of 0 exceed the demand of 152, resulting in a projected surplus of 3650. This inventory levels violates the maximum stock threshold of 2743 units by 907 units, increasing holding risk."
BD-24536581-00033,2026-04-17,2026-03-15,6,SKU_0001,F1,F1,Factory,F1,,,Detroit,Midwest,42.3314,-83.0458,Medical Devices & Diagnostics,29.55,0,5969,3650,705,0,705,0,0,0,0,2945,29.2,4,28,1187,28,1187,65,2743,1187,2743,100,7,0,202,MDS,Low ESTN,P3,Potential Excess,C,33,7,16,66,25,"Opening inventory of 3650 and supply of 0 exceed the demand of 705, resulting in a projected surplus of 2945. This inventory levels violates the maximum stock threshold of 2743 units by 202 units, increasing holding risk."
,2026-04-17,2026-03-22,7,SKU_0001,F1,F1,Factory,F1,,,Detroit,Midwest,42.3314,-83.0458,Medical Devices & Diagnostics,29.55,0,0,2945,205,0,205,0,0,0,0,2740,93.6,4,28,1187,28,1187,65,2743,1187,2743,100,0,0,0,MDS,None,None,Healthy,C,0,0,0,0,0,
,2026-04-17,2026-03-29,8,SKU_0001,F1,F1,Factory,F1,,,Detroit,Midwest,42.3314,-83.0458,Medical Devices & Diagnostics,29.55,0,0,2740,880,0,880,478,0,478,0,2338,18.6,4,28,1187,28,1187,65,2743,1187,2743,100,0,0,0,MDS,None,None,Healthy,C,0,0,0,0,0,
,2026-04-17,2026-04-05,9,SKU_0001,F1,F1,Factory,F1,,,Detroit,Midwest,42.3314,-83.0458,Medical Devices & Diagnostics,29.55,0,0,2338,669,0,669,0,752,752,0,2421,25.3,4,28,1187,28,1187,65,2743,1187,2743,100,0,0,0,MDS,None,None,Healthy,C,0,0,0,0,0,
BD-24536581-00034,2026-04-17,2026-04-12,10,SKU_0001,F1,F1,Factory,F1,,,Detroit,Midwest,42.3314,-83.0458,Medical Devices & Diagnostics,29.55,0,23255,2421,1113,0,1113,0,2222,2222,0,3530,22.2,4,28,1187,28,1187,65,2743,1187,2743,100,28,0,787,MDS,High ESTN,P2,At-Risk Excess,C,67,28,10,66,44,"Opening inventory of 2421 and supply of 2222 exceed the demand of 1113, resulting in a projected surplus of 3530. This inventory levels violates the maximum stock threshold of 2743 units by 787 units, increasing holding risk."
BD-24536581-00035,2026-04-17,2026-04-19,11,SKU_0001,F1,F1,Factory,F1,,,Detroit,Midwest,42.3314,-83.0458,Medical Devices & Diagnostics,29.55,0,46245,3530,316,0,316,0,1094,1094,0,4308,95.4,4,28,1187,28,1187,65,2743,1187,2743,100,57,0,1565,MDS,High ESTN,P2,At-Risk Excess,C,67,57,9,66,52,"Opening inventory of 3530 and supply of 1094 exceed the demand of 316, resulting in a projected surplus of 4308. This inventory levels violates the maximum stock threshold of 2743 units by 1565 units, increasing holding risk."
BD-24536581-00036,2026-04-17,2026-04-26,12,SKU_0001,F1,F1,Factory,F1,,,Detroit,Midwest,42.3314,-83.0458,Medical Devices & Diagnostics,29.55,0,58656,4308,0,0,0,420,0,420,0,4728,0.0,4,28,1187,28,1187,65,2743,1187,2743,100,72,0,1985,MDS,High ESTN,P2,At-Risk Excess,C,67,72,8,66,57,"Opening inventory of 4308 and supply of 0 exceed the demand of 0, resulting in a projected surplus of 4728. This inventory levels violates the maximum stock threshold of 2743 units by 1985 units, increasing holding risk."
BD-24536581-00037,2026-04-17,2026-02-08,1,SKU_0002,DC1,DC1,DC,F1,,,New York,Northeast,40.7128,-74.006,Medical Devices & Diagnostics,19.78,3501,0,385,82,0,82,0,0,0,0,303,25.9,3,28,480,21,360,111,1910,480,1910,63,0,177,0,MDS,High MSTN,P1,Critical Stockout,A,100,36,100,33,74,"Opening inventory of 385 and supply of 0 are sufficient to cover the demand of 82. However, the projected closing inventory of 303 falls 177 units below the target safety stock requirement of 480, compromising the critical service level buffer."
