Alert_ID,Snapshot_Date,Week,Week_Index,SKU,Site,SKU Desc,Site Desc,Site Type,Category,Start Inventory,Total Forecast/Order,Start Backorder,Total Demand,Planned Prod,Confirm Prod,Total Supply,End. Backorder,End. Inventory,Days of Coverage,Lead Time,Target Safety Stock (in Days),Target Safety Stock (in Units),Cycle Stock (in Days),Cycle Stock (in Units),Target Max Stock (in Days),Target Max Stock (in Units),MSTN Thresold,ESTN Thresold,MSTN%,ESTN%,Shortage,Excess,Business Unit,Alert Type,Priority,Alert,SKU_Category,W1_Priority_Flag,W2_Shortage_Excess_Qty,W3_Days_to_Alert,W4_SKU_Importance,Priority_Score,RCA_Summary,Agentic_RCA
,2026-03-31,2026-04-19,11,SKU_0001,DC_01,Medical Device for SKU_0001,Chicago Distribution Center,DC,Medical Devices & Diagnostics,535,26,0,26,0,0,0,0,509,137.0,4,28,152,28,152,101,546,152,546,100,0,0,0,MDS,None,None,Healthy,C,0,0,0,0,0,,
,2026-03-31,2026-04-26,12,SKU_0001,DC_01,Medical Device for SKU_0001,Chicago Distribution Center,DC,Medical Devices & Diagnostics,509,32,0,32,0,234,234,0,711,155.5,4,28,152,28,152,101,546,152,546,100,30,0,165,MDS,None,None,Healthy,C,0,0,0,0,0,,
BD-20260331-00005,2026-03-31,2026-02-08,1,SKU_0001,DC_02,Medical Device for SKU_0001,Dallas Distribution Center,DC,Medical Devices & Diagnostics,10,18,0,18,0,52,52,0,44,17.1,4,28,70,28,70,64,161,70,161,62,0,26,0,MDS,High MSTN,P1,Critical Stockout,C,100,37,100,33,74,Low Opening Stock (10 vs SS 70) + Supply (52) cannot meet Demand (18). Week 1 within 4-week lead time.,"Opening inventory of 10 and supply of 52 are sufficient to cover the demand of 18. However, the projected closing inventory of 44 falls 26 units below the target safety stock requirement of 70, compromising the critical service level buffer."
BD-20260331-00006,2026-03-31,2026-02-15,2,SKU_0001,DC_02,Medical Device for SKU_0001,Dallas Distribution Center,DC,Medical Devices & Diagnostics,44,16,0,16,17,0,17,0,45,19.7,4,28,70,28,70,64,161,70,161,64,0,25,0,MDS,High MSTN,P1,Critical Stockout,C,100,35,50,33,64,Low Opening Stock (44 vs SS 70) + Supply (17) cannot meet Demand (16). Week 2 within 4-week lead time.,"Opening inventory of 44 and supply of 17 are sufficient to cover the demand of 16. However, the projected closing inventory of 45 falls 25 units below the target safety stock requirement of 70, compromising the critical service level buffer."
BD-20260331-00007,2026-03-31,2026-02-22,3,SKU_0001,DC_02,Medical Device for SKU_0001,Dallas Distribution Center,DC,Medical Devices & Diagnostics,45,19,0,19,0,0,0,0,26,9.6,4,28,70,28,70,64,161,70,161,37,0,44,0,MDS,High MSTN,P1,Critical Stockout,C,100,62,33,33,68,Opening Stock (45) + Zero Inbound Supply cannot meet Demand (19). Week 3 within 4-week lead time.,"Opening inventory of 45 and supply of 0 are sufficient to cover the demand of 19. However, the projected closing inventory of 26 falls 44 units below the target safety stock requirement of 70, compromising the critical service level buffer."
BD-20260331-00008,2026-03-31,2026-03-01,4,SKU_0001,DC_02,Medical Device for SKU_0001,Dallas Distribution Center,DC,Medical Devices & Diagnostics,26,20,0,20,0,35,35,0,41,14.4,4,28,70,28,70,64,161,70,161,58,0,29,0,MDS,High MSTN,P1,Critical Stockout,C,100,41,25,33,61,Low Opening Stock (26 vs SS 70) + Supply (35) cannot meet Demand (20). Week 4 within 4-week lead time.,"Opening inventory of 26 and supply of 35 are sufficient to cover the demand of 20. However, the projected closing inventory of 41 falls 29 units below the target safety stock requirement of 70, compromising the critical service level buffer."
BD-20260331-00009,2026-03-31,2026-03-08,5,SKU_0001,DC_02,Medical Device for SKU_0001,Dallas Distribution Center,DC,Medical Devices & Diagnostics,41,12,0,12,0,34,34,0,63,36.8,4,28,70,28,70,64,161,70,161,90,0,7,0,MDS,Low MSTN,P3,Potential Stockout,C,33,10,20,33,24,Low Opening Stock (41 vs SS 70) + Supply (34) cannot meet Demand (12).,"Opening inventory of 41 and supply of 34 are sufficient to cover the demand of 12. However, the projected closing inventory of 63 falls 7 units below the target safety stock requirement of 70, compromising the critical service level buffer."
BD-20260331-00010,2026-03-31,2026-03-15,6,SKU_0001,DC_02,Medical Device for SKU_0001,Dallas Distribution Center,DC,Medical Devices & Diagnostics,63,21,0,21,0,121,121,0,163,54.3,4,28,70,28,70,64,161,70,161,100,1,0,2,MDS,Low ESTN,P3,Potential Excess,C,33,1,16,33,20,Opening Stock (63) + Aggressive Supply (121) exceeds Forecast (21).,"Opening inventory of 63 and supply of 121 exceed the demand of 21, resulting in a projected surplus of 163. This inventory levels violates the maximum stock threshold of 161 units by 2 units, increasing holding risk."
,2026-03-31,2026-03-22,7,SKU_0001,DC_02,Medical Device for SKU_0001,Dallas Distribution Center,DC,Medical Devices & Diagnostics,163,20,0,20,42,0,42,0,185,64.8,4,28,70,28,70,64,161,70,161,100,14,0,24,MDS,None,None,Healthy,C,0,0,0,0,0,,
BD-20260331-00011,2026-03-31,2026-03-29,8,SKU_0001,DC_02,Medical Device for SKU_0001,Dallas Distribution Center,DC,Medical Devices & Diagnostics,185,18,0,18,0,0,0,0,167,64.9,4,28,70,28,70,64,161,70,161,100,3,0,6,MDS,Low ESTN,P3,Potential Excess,C,33,3,12,33,20,High Opening Stock (185) + Supply (0) exceeds Max Stock (161) vs Demand (18).,"Opening inventory of 185 and supply of 0 exceed the demand of 18, resulting in a projected surplus of 167. This inventory levels violates the maximum stock threshold of 161 units by 6 units, increasing holding risk."
,2026-03-31,2026-04-05,9,SKU_0001,DC_02,Medical Device for SKU_0001,Dallas Distribution Center,DC,Medical Devices & Diagnostics,167,17,0,17,0,0,0,0,150,61.8,4,28,70,28,70,64,161,70,161,100,0,0,0,MDS,None,None,Healthy,C,0,0,0,0,0,,
,2026-03-31,2026-04-12,10,SKU_0001,DC_02,Medical Device for SKU_0001,Dallas Distribution Center,DC,Medical Devices & Diagnostics,150,22,0,22,0,29,29,0,157,50.0,4,28,70,28,70,64,161,70,161,100,0,0,0,MDS,None,None,Healthy,C,0,0,0,0,0,,
,2026-03-31,2026-04-19,11,SKU_0001,DC_02,Medical Device for SKU_0001,Dallas Distribution Center,DC,Medical Devices & Diagnostics,157,17,0,17,0,105,105,0,245,100.9,4,28,70,28,70,64,161,70,161,100,52,0,84,MDS,None,None,Healthy,C,0,0,0,0,0,,
,2026-03-31,2026-04-26,12,SKU_0001,DC_02,Medical Device for SKU_0001,Dallas Distribution Center,DC,Medical Devices & Diagnostics,245,16,0,16,31,0,31,0,260,113.8,4,28,70,28,70,64,161,70,161,100,61,0,99,MDS,None,None,Healthy,C,0,0,0,0,0,,
BD-20260331-00012,2026-03-31,2026-02-08,1,SKU_0001,DC_03,Medical Device for SKU_0001,Atlanta Distribution Center,DC,Medical Devices & Diagnostics,1,28,0,28,0,66,66,0,39,9.8,4,28,137,28,137,75,365,137,365,28,0,98,0,MDS,High MSTN,P1,Critical Stockout,C,100,71,100,33,85,Low Opening Stock (1 vs SS 137) + Supply (66) cannot meet Demand (28). Week 1 within 4-week lead time.,"Opening inventory of 1 and supply of 66 are sufficient to cover the demand of 28. However, the projected closing inventory of 39 falls 98 units below the target safety stock requirement of 137, compromising the critical service level buffer."
BD-20260331-00013,2026-03-31,2026-02-15,2,SKU_0001,DC_03,Medical Device for SKU_0001,Atlanta Distribution Center,DC,Medical Devices & Diagnostics,39,39,0,39,0,99,99,0,99,17.8,4,28,137,28,137,75,365,137,365,72,0,38,0,MDS,High MSTN,P1,Critical Stockout,C,100,27,50,33,61,Low Opening Stock (39 vs SS 137) + Supply (99) cannot meet Demand (39). Week 2 within 4-week lead time.,"Opening inventory of 39 and supply of 99 are sufficient to cover the demand of 39. However, the projected closing inventory of 99 falls 38 units below the target safety stock requirement of 137, compromising the critical service level buffer."
BD-20260331-00014,2026-03-31,2026-02-22,3,SKU_0001,DC_03,Medical Device for SKU_0001,Atlanta Distribution Center,DC,Medical Devices & Diagnostics,99,37,0,37,0,0,0,0,62,11.7,4,28,137,28,137,75,365,137,365,45,0,75,0,MDS,High MSTN,P1,Critical Stockout,C,100,54,33,33,66,Opening Stock (99) + Zero Inbound Supply cannot meet Demand (37). Week 3 within 4-week lead time.,"Opening inventory of 99 and supply of 0 are sufficient to cover the demand of 37. However, the projected closing inventory of 62 falls 75 units below the target safety stock requirement of 137, compromising the critical service level buffer."
BD-20260331-00015,2026-03-31,2026-03-01,4,SKU_0001,DC_03,Medical Device for SKU_0001,Atlanta Distribution Center,DC,Medical Devices & Diagnostics,62,42,0,42,0,97,97,0,117,19.5,4,28,137,28,137,75,365,137,365,85,0,20,0,MDS,Medium MSTN,P2,At-Risk Stockout,C,67,14,25,33,39,Low Opening Stock (62 vs SS 137) + Supply (97) cannot meet Demand (42). Week 4 within 4-week lead time.,"Opening inventory of 62 and supply of 97 are sufficient to cover the demand of 42. However, the projected closing inventory of 117 falls 20 units below the target safety stock requirement of 137, compromising the critical service level buffer."
BD-20260331-00016,2026-03-31,2026-03-08,5,SKU_0001,DC_03,Medical Device for SKU_0001,Atlanta Distribution Center,DC,Medical Devices & Diagnostics,117,43,0,43,0,0,0,0,74,12.0,4,28,137,28,137,75,365,137,365,54,0,63,0,MDS,High MSTN,P2,At-Risk Stockout,C,67,45,20,33,48,Opening Stock (117) + Zero Inbound Supply cannot meet Demand (43).,"Opening inventory of 117 and supply of 0 are sufficient to cover the demand of 43. However, the projected closing inventory of 74 falls 63 units below the target safety stock requirement of 137, compromising the critical service level buffer."
BD-20260331-00017,2026-03-31,2026-03-15,6,SKU_0001,DC_03,Medical Device for SKU_0001,Atlanta Distribution Center,DC,Medical Devices & Diagnostics,74,35,0,35,0,63,63,0,102,20.4,4,28,137,28,137,75,365,137,365,74,0,35,0,MDS,High MSTN,P2,At-Risk Stockout,C,67,25,16,33,41,Low Opening Stock (74 vs SS 137) + Supply (63) cannot meet Demand (35).,"Opening inventory of 74 and supply of 63 are sufficient to cover the demand of 35. However, the projected closing inventory of 102 falls 35 units below the target safety stock requirement of 137, compromising the critical service level buffer."
BD-20260331-00018,2026-03-31,2026-03-22,7,SKU_0001,DC_03,Medical Device for SKU_0001,Atlanta Distribution Center,DC,Medical Devices & Diagnostics,102,42,0,42,69,0,69,0,129,21.5,4,28,137,28,137,75,365,137,365,94,0,8,0,MDS,Low MSTN,P3,Potential Stockout,C,33,5,14,33,21,Low Opening Stock (102 vs SS 137) + Supply (69) cannot meet Demand (42).,"Opening inventory of 102 and supply of 69 are sufficient to cover the demand of 42. However, the projected closing inventory of 129 falls 8 units below the target safety stock requirement of 137, compromising the critical service level buffer."
,2026-03-31,2026-03-29,8,SKU_0001,DC_03,Medical Device for SKU_0001,Atlanta Distribution Center,DC,Medical Devices & Diagnostics,129,32,0,32,42,0,42,0,139,30.4,4,28,137,28,137,75,365,137,365,100,0,0,0,MDS,None,None,Healthy,C,0,0,0,0,0,,
,2026-03-31,2026-04-05,9,SKU_0001,DC_03,Medical Device for SKU_0001,Atlanta Distribution Center,DC,Medical Devices & Diagnostics,139,37,0,37,0,208,208,0,310,58.6,4,28,137,28,137,75,365,137,365,100,0,0,0,MDS,None,None,Healthy,C,0,0,0,0,0,,
,2026-03-31,2026-04-12,10,SKU_0001,DC_03,Medical Device for SKU_0001,Atlanta Distribution Center,DC,Medical Devices & Diagnostics,310,33,0,33,0,0,0,0,277,58.8,4,28,137,28,137,75,365,137,365,100,0,0,0,MDS,None,None,Healthy,C,0,0,0,0,0,,
,2026-03-31,2026-04-19,11,SKU_0001,DC_03,Medical Device for SKU_0001,Atlanta Distribution Center,DC,Medical Devices & Diagnostics,277,34,0,34,0,176,176,0,419,86.3,4,28,137,28,137,75,365,137,365,100,14,0,54,MDS,None,None,Healthy,C,0,0,0,0,0,,
,2026-03-31,2026-04-26,12,SKU_0001,DC_03,Medical Device for SKU_0001,Atlanta Distribution Center,DC,Medical Devices & Diagnostics,419,22,0,22,0,82,82,0,479,152.4,4,28,137,28,137,75,365,137,365,100,31,0,114,MDS,None,None,Healthy,C,0,0,0,0,0,,
,2026-03-31,2026-02-08,1,SKU_0001,DC_04,Medical Device for SKU_0001,Los Angeles Distribution Center,DC,Medical Devices & Diagnostics,276,85,0,85,0,749,749,0,940,77.4,3,28,393,21,295,103,1440,393,1440,100,0,0,0,MDS,None,None,Healthy,C,0,0,0,0,0,,
,2026-03-31,2026-02-15,2,SKU_0001,DC_04,Medical Device for SKU_0001,Los Angeles Distribution Center,DC,Medical Devices & Diagnostics,940,98,0,98,0,168,168,0,1010,72.1,3,28,393,21,295,103,1440,393,1440,100,0,0,0,MDS,None,None,Healthy,C,0,0,0,0,0,,
,2026-03-31,2026-02-22,3,SKU_0001,DC_04,Medical Device for SKU_0001,Los Angeles Distribution Center,DC,Medical Devices & Diagnostics,1010,104,0,104,0,246,246,0,1152,77.5,3,28,393,21,295,103,1440,393,1440,100,0,0,0,MDS,None,None,Healthy,C,0,0,0,0,0,,
,2026-03-31,2026-03-01,4,SKU_0001,DC_04,Medical Device for SKU_0001,Los Angeles Distribution Center,DC,Medical Devices & Diagnostics,1152,98,0,98,241,0,241,0,1295,92.5,3,28,393,21,295,103,1440,393,1440,100,0,0,0,MDS,None,None,Healthy,C,0,0,0,0,0,,
,2026-03-31,2026-03-08,5,SKU_0001,DC_04,Medical Device for SKU_0001,Los Angeles Distribution Center,DC,Medical Devices & Diagnostics,1295,125,0,125,0,0,0,0,1170,65.5,3,28,393,21,295,103,1440,393,1440,100,0,0,0,MDS,None,None,Healthy,C,0,0,0,0,0,,
,2026-03-31,2026-03-15,6,SKU_0001,DC_04,Medical Device for SKU_0001,Los Angeles Distribution Center,DC,Medical Devices & Diagnostics,1170,70,0,70,0,270,270,0,1370,137.0,3,28,393,21,295,103,1440,393,1440,100,0,0,0,MDS,None,None,Healthy,C,0,0,0,0,0,,
BD-20260331-00019,2026-03-31,2026-03-22,7,SKU_0001,DC_04,Medical Device for SKU_0001,Los Angeles Distribution Center,DC,Medical Devices & Diagnostics,1370,78,0,78,0,234,234,0,1526,136.9,3,28,393,21,295,103,1440,393,1440,100,5,0,86,MDS,Low ESTN,P3,Potential Excess,C,33,5,14,33,21,"Opening Stock (1,370) + Aggressive Supply (234) exceeds Forecast (78).","Opening inventory of 1370 and supply of 234 exceed the demand of 78, resulting in a projected surplus of 1526. This inventory levels violates the maximum stock threshold of 1440 units by 86 units, increasing holding risk."
,2026-03-31,2026-03-29,8,SKU_0001,DC_04,Medical Device for SKU_0001,Los Angeles Distribution Center,DC,Medical Devices & Diagnostics,1526,87,0,87,198,0,198,0,1637,131.7,3,28,393,21,295,103,1440,393,1440,100,13,0,197,MDS,None,None,Healthy,C,0,0,0,0,0,,
,2026-03-31,2026-04-05,9,SKU_0001,DC_04,Medical Device for SKU_0001,Los Angeles Distribution Center,DC,Medical Devices & Diagnostics,1637,111,0,111,0,249,249,0,1775,111.9,3,28,393,21,295,103,1440,393,1440,100,23,0,335,MDS,None,None,Healthy,C,0,0,0,0,0,,
,2026-03-31,2026-04-12,10,SKU_0001,DC_04,Medical Device for SKU_0001,Los Angeles Distribution Center,DC,Medical Devices & Diagnostics,1775,74,0,74,0,0,0,0,1701,160.9,3,28,393,21,295,103,1440,393,1440,100,18,0,261,MDS,None,None,Healthy,C,0,0,0,0,0,,
,2026-03-31,2026-04-19,11,SKU_0001,DC_04,Medical Device for SKU_0001,Los Angeles Distribution Center,DC,Medical Devices & Diagnostics,1701,90,0,90,0,283,283,0,1894,147.3,3,28,393,21,295,103,1440,393,1440,100,31,0,454,MDS,None,None,Healthy,C,0,0,0,0,0,,
,2026-03-31,2026-04-26,12,SKU_0001,DC_04,Medical Device for SKU_0001,Los Angeles Distribution Center,DC,Medical Devices & Diagnostics,1894,80,0,80,227,0,227,0,2041,178.6,3,28,393,21,295,103,1440,393,1440,100,41,0,601,MDS,None,None,Healthy,C,0,0,0,0,0,,
BD-20260331-00020,2026-03-31,2026-02-08,1,SKU_0001,DC_05,Medical Device for SKU_0001,New York Distribution Center,DC,Medical Devices & Diagnostics,88,54,0,54,62,0,62,0,96,12.4,3,28,210,21,158,73,547,210,547,45,0,114,0,MDS,High MSTN,P1,Critical Stockout,C,100,54,100,33,80,Low Opening Stock (88 vs SS 210) + Supply (62) cannot meet Demand (54). Week 1 within 3-week lead time.,"Opening inventory of 88 and supply of 62 are sufficient to cover the demand of 54. However, the projected closing inventory of 96 falls 114 units below the target safety stock requirement of 210, compromising the critical service level buffer."
BD-20260331-00021,2026-03-31,2026-02-15,2,SKU_0001,DC_05,Medical Device for SKU_0001,New York Distribution Center,DC,Medical Devices & Diagnostics,96,66,0,66,0,0,0,0,30,3.2,3,28,210,21,158,73,547,210,547,14,0,180,0,MDS,High MSTN,P1,Critical Stockout,C,100,85,50,33,79,Opening Stock (96) + Zero Inbound Supply cannot meet Demand (66). Week 2 within 3-week lead time.,"Opening inventory of 96 and supply of 0 are sufficient to cover the demand of 66. However, the projected closing inventory of 30 falls 180 units below the target safety stock requirement of 210, compromising the critical service level buffer."
,2026-03-31,2026-02-22,3,SKU_0001,DC_05,Medical Device for SKU_0001,New York Distribution Center,DC,Medical Devices & Diagnostics,30,37,0,37,0,362,362,0,355,67.2,3,28,210,21,158,73,547,210,547,100,0,0,0,MDS,None,None,Healthy,C,0,0,0,0,0,,
,2026-03-31,2026-03-01,4,SKU_0001,DC_05,Medical Device for SKU_0001,New York Distribution Center,DC,Medical Devices & Diagnostics,355,65,0,65,0,0,0,0,290,31.2,3,28,210,21,158,73,547,210,547,100,0,0,0,MDS,None,None,Healthy,C,0,0,0,0,0,,
,2026-03-31,2026-03-08,5,SKU_0001,DC_05,Medical Device for SKU_0001,New York Distribution Center,DC,Medical Devices & Diagnostics,290,58,0,58,0,91,91,0,323,39.0,3,28,210,21,158,73,547,210,547,100,0,0,0,MDS,None,None,Healthy,C,0,0,0,0,0,,
,2026-03-31,2026-03-15,6,SKU_0001,DC_05,Medical Device for SKU_0001,New York Distribution Center,DC,Medical Devices & Diagnostics,323,65,0,65,0,0,0,0,258,27.8,3,28,210,21,158,73,547,210,547,100,0,0,0,MDS,None,None,Healthy,C,0,0,0,0,0,,
BD-20260331-00022,2026-03-31,2026-03-22,7,SKU_0001,DC_05,Medical Device for SKU_0001,New York Distribution Center,DC,Medical Devices & Diagnostics,258,54,0,54,0,0,0,0,204,26.4,3,28,210,21,158,73,547,210,547,97,0,6,0,MDS,Low MSTN,P3,Potential Stockout,C,33,2,14,33,20,Opening Stock (258) + Zero Inbound Supply cannot meet Demand (54).,"Opening inventory of 258 and supply of 0 are sufficient to cover the demand of 54. However, the projected closing inventory of 204 falls 6 units below the target safety stock requirement of 210, compromising the critical service level buffer."
,2026-03-31,2026-03-29,8,SKU_0001,DC_05,Medical Device for SKU_0001,New York Distribution Center,DC,Medical Devices & Diagnostics,204,39,0,39,0,134,134,0,299,53.7,3,28,210,21,158,73,547,210,547,100,0,0,0,MDS,None,None,Healthy,C,0,0,0,0,0,,
,2026-03-31,2026-04-05,9,SKU_0001,DC_05,Medical Device for SKU_0001,New York Distribution Center,DC,Medical Devices & Diagnostics,299,44,0,44,0,0,0,0,255,40.6,3,28,210,21,158,73,547,210,547,100,0,0,0,MDS,None,None,Healthy,C,0,0,0,0,0,,
,2026-03-31,2026-04-12,10,SKU_0001,DC_05,Medical Device for SKU_0001,New York Distribution Center,DC,Medical Devices & Diagnostics,255,40,0,40,0,0,0,0,215,37.6,3,28,210,21,158,73,547,210,547,100,0,0,0,MDS,None,None,Healthy,C,0,0,0,0,0,,
,2026-03-31,2026-04-19,11,SKU_0001,DC_05,Medical Device for SKU_0001,New York Distribution Center,DC,Medical Devices & Diagnostics,215,43,0,43,78,0,78,0,250,40.7,3,28,210,21,158,73,547,210,547,100,0,0,0,MDS,None,None,Healthy,C,0,0,0,0,0,,
BD-20260331-00023,2026-03-31,2026-04-26,12,SKU_0001,DC_05,Medical Device for SKU_0001,New York Distribution Center,DC,Medical Devices & Diagnostics,250,54,0,54,0,0,0,0,196,25.4,3,28,210,21,158,73,547,210,547,93,0,14,0,MDS,Low MSTN,P3,Potential Stockout,C,33,6,8,33,20,Opening Stock (250) + Zero Inbound Supply cannot meet Demand (54).,"Opening inventory of 250 and supply of 0 are sufficient to cover the demand of 54. However, the projected closing inventory of 196 falls 14 units below the target safety stock requirement of 210, compromising the critical service level buffer."
BD-20260331-00024,2026-03-31,2026-02-08,1,SKU_0001,FAC_01,Medical Device for SKU_0001,BD Manufacturing Facility - New Jersey,Factory,Medical Devices & Diagnostics,791,267,0,267,0,0,0,0,524,13.7,5,28,962,35,1202,89,3059,962,3059,54,0,438,0,MDS,High MSTN,P1,Critical Stockout,C,100,45,100,33,77,Opening Stock (791) + Zero Inbound Supply cannot meet Demand (267). Week 1 within 5-week lead time.,"Opening inventory of 791 and supply of 0 are sufficient to cover the demand of 267. However, the projected closing inventory of 524 falls 438 units below the target safety stock requirement of 962, compromising the critical service level buffer."
BD-20260331-00025,2026-03-31,2026-02-15,2,SKU_0001,FAC_01,Medical Device for SKU_0001,BD Manufacturing Facility - New Jersey,Factory,Medical Devices & Diagnostics,524,608,0,608,0,791,791,0,707,8.1,5,28,962,35,1202,89,3059,962,3059,73,0,255,0,MDS,High MSTN,P1,Critical Stockout,C,100,26,50,33,61,Opening Stock (524) + Supply (791) overwhelmed by Demand Surge (608 vs avg 317). Week 2 within 5-week lead time.,"Opening inventory of 524 and supply of 791 are sufficient to cover the demand of 608. However, the projected closing inventory of 707 falls 255 units below the target safety stock requirement of 962, compromising the critical service level buffer."
BD-20260331-00026,2026-03-31,2026-02-22,3,SKU_0001,FAC_01,Medical Device for SKU_0001,BD Manufacturing Facility - New Jersey,Factory,Medical Devices & Diagnostics,707,223,0,223,0,0,0,0,484,15.2,5,28,962,35,1202,89,3059,962,3059,50,0,478,0,MDS,High MSTN,P1,Critical Stockout,C,100,49,33,33,65,Opening Stock (707) + Zero Inbound Supply cannot meet Demand (223). Week 3 within 5-week lead time.,"Opening inventory of 707 and supply of 0 are sufficient to cover the demand of 223. However, the projected closing inventory of 484 falls 478 units below the target safety stock requirement of 962, compromising the critical service level buffer."
,2026-03-31,2026-03-01,4,SKU_0001,FAC_01,Medical Device for SKU_0001,BD Manufacturing Facility - New Jersey,Factory,Medical Devices & Diagnostics,484,221,0,221,0,721,721,0,984,31.2,5,28,962,35,1202,89,3059,962,3059,100,0,0,0,MDS,None,None,Healthy,C,0,0,0,0,0,,
